num|nb_reactions|nb_commentaires|text_post
1|0|0|Top
2|0|0|2 points en complément :- il y a des règles au sujet des vols intérieurs en avion (de ligne) si le trajet peut se faire en moins de 3h, je crois,  en TGV. On pourrait s'en inspirer pour les jets "privés"?- derrière la fabrication de ces jets "privés",  quelques milliers d'emplois, au moins en France et aux USA...des entreprises qui ne doivent pas être "inertes" en matière de R&D pour réduire l'empreinte carbone, inclure d'autres énergies...Et lesdits jets privés n'ont pas comme unique finalité de transporter ceux que l'on pointe du doigt actuellement : évacuations sanitaires par ex.
3|4|11| Sans détenir la vérité, il est évident que sur ce coup Mme Rousseau a raison.
4|1|0|L’un n’empêche absolument pas l’autre Thierry !
5|5|0|Aucun rapport avec le sujet
6|1|0| évidemment car LFI fait passer la chasse aux riches avant l’écologie.
7|3|0| les deux vont de paire Thierry. Eat the rich !
8|0|0| la réponse en image
9|4|0| C’est censé être choquant ?
10|3|0| Et elle a bien raison !
11|4|0| Où est le problème ? Sandrine Rousseau a tout à fait raison.
12|3|0| si vous êtes choqué par ce post de Sandrine Rousseau c’est qu’il serait temps de vous remettre en question sérieusement.
13|0|0| parce que vous détenez la Vérité ?
14|3|0| Sans détenir la vérité, il est évident que sur ce coup Mme Rousseau a raison.
15|4|7| avec plaisir, et a dispo pour échanger sur ce sujet.
16|1|0|Il en est pas a sa première sortie de ce style ...
17|0|0|Pourquoi avoir effacé ma question quand à la production locale et responsable de vos produits  ?
18|0|0|je n'ai rien effacé, je n'ai d'ailleurs pas l'habitude d'effacer les questions :)
19|0|0| je me demandais donc si votre enseigne allait se tourner vers une production locale et éthique ?
20|1|0| au delà de réfléchir à s’y tourner nous sommes déjà dans l’action concrète .On est loin d’être parfait mais on avance, les yeux bien ouvert sur l’ampleur de la tâche. Vous retrouverez l’ensemble des rapports, notre plan de transition ici : journée Joseph,
21|0|0|Merci pour votre retour 
22|1|0| avec plaisir, et a dispo pour échanger sur ce sujet.
23|1|0|Mondialiser les échanges et donc le plus souvent acheter les composants en Asie, est ce compatible avec l'accord de Paris? . Se goinfrer de séries est-ce compatible avec l'accord de Paris ? Se chauffer au gaz de schiste américain parce que les ENR (cf notre voisin) n'ont pas la performance naïvement attendue est-ce compatible avec l'accord de Paris ? Pourtant ces petits exemples sont bien plus destructeurs pour la planète que le jet  privé  ( que je ne défends absolument pas) . Mais l'exemple du jet ( surtout privé) est bien plus efficace en matière de communication , on montre du doigt un seul pour éviter à la masse d'avoir à se remettre en cause . Et pourtant on ne s'en sortira qu'en mettant à contribution  la masse des humains. A quand des 'Julien Bayou'  qui oseront responsabiliser le grand nombre et non essayer de les manipuler à bon compte ? C'est pourtant simple il suffit que chacun se pose la question : et moi ( et pas mon voisin) , et moi qu'ai je fait pour la planète?
24|1|1|Tout-à-fait d’accord et n’oublions pas que ce sont souvent des chefs d’entreprise qui font de tels voyages, avec des timings serrés, pour le bien de l’industrie française.
25|0|0|Tout-à-fait d’accord et n’oublions pas que ce sont souvent des chefs d’entreprise qui font de tels voyages, avec des timings serrés, pour le bien de l’industrie française.
26|0|0|C'est dommage que cela vienne de Julien B. dont les exactions n'ont toujours pas été portées par l'autorité judiciaire : cette proposition de loi comme les autres respecte le droit de regard citoyen. Nous allons fixer les vraies priorités législatives et en finir avec le concept d'une affaire en chasse une autre...
27|18|10|le 1et problème est que nous sommes trop nombreux  !  Bizarre comme argument voir dangereux 
28|0|0|👍
29|4|0|Ben voyons. Après nous le déluge !Business must go on !
30|7|0| je vous invite à challenger vos idées reçues concernant le lien entre démographie et changement climatique, par exemple en lisant l'excellent ouvrage de Emmanuel Pont sur le sujet ("Faut-il arrêter de faire des enfants pour sauver la planète", dont un résumé est aussi disponible sur le site de BonPote). Les pays à forte natalité ne sont pas ceux qui sont responsables de la situation climatique, ce sont bien les pays riches ayant achevé leur transition démographique. De plus, même si on réduisait la natalité drastiquement partout dans le monde immédiatement (sous réserve que cela soit possible !), les effets ne seraient visibles que d'ici plusieurs décennies, ce serait beaucoup trop tard. Et encore, tout ça, c'est sans aborder les questions philosophiques derrière... Vous remarquerez d'ailleurs en (re)lisant la synthèse du 3e rapport du GIEC que la natalité n'est pas présentée comme un levier d'action.Une mesure démographique très efficace en revanche serait d'assassiner sur le champ les 1% plus riches de l'humanité, dont nous faisons tous les deux partie. Certains affirment (même si ces chiffres sont probablement exagérés) que cela réduirait instantanément 50% des émissions mondiales... Qu'en pensez-vous ?
31|5|0|Donc votre problème c'est qu'il y a trop de pauvres ? Donc vous vous pouvez continuer à consommer ? 
32|0|0| je préférerais surtout qu’il y ait plus de riches… Mais ce n’est pas en devenant tous pauvres que le monde ira mieux !Votre vision est bien caricaturale !
33|3|0| Si on divise la population par deux et qu'on vit tous comme des Américains, cela serait même pire qu'aujourd'hui. Donc non, le problème n'est pas seulement lié à la surpopulation, la surconsommation est autant problématique.
